Country Name,Year,Value (USD),Status
126,0.020408,0.024899,0
126,0.040816,0.020779,0
126,0.061224,0.024765,0
126,0.081633,0.040112,0
126,0.102041,0.045693,0
126,0.122449,0.043237,0
126,0.163265,0.073167,0
126,0.183673,0.075348,0
126,0.204082,0.123858,0
126,0.22449,0.075348,0
126,0.244898,0.246319,0
126,0.265306,0.224273,0
126,0.285714,0.238821,0
126,0.306122,0.23117,0
126,0.326531,0.042429,0
126,0.346939,0.041787,0
126,0.367347,0.108009,0
126,0.387755,0.147568,0
126,0.408163,0.184185,0
126,0.428571,0.239644,0
126,0.44898,0.311839,0
126,0.469388,0.397144,0
126,0.489796,0.268529,0
126,0.510204,0.365983,0
126,0.530612,0.338565,0
126,0.55102,0.283254,0
126,0.571429,0.25896,0
126,0.591837,0.025311,0
126,0.612245,0.032696,0
126,0.632653,0.046905,0
126,0.653061,0.72681,0
126,0.673469,0.815408,0
126,0.693878,0.444779,0
126,0.714286,0.505237,0
126,0.734694,0.477843,0
126,0.755102,0.341678,0
126,0.77551,0.40378,0
126,0.795918,0.423677,0
126,0.816327,0.551325,0
126,0.836735,0.483229,0
126,0.857143,0.547352,0
126,0.877551,0.541586,0
126,0.897959,0.557376,0
126,0.918367,0.754768,0
126,0.938776,0.49271,0
126,0.959184,0.499359,0
126,0.979592,0.443953,0
126,1.0,0.415187,0
127,0.489796,0.0,0
127,0.510204,3e-06,0
127,0.530612,4e-06,0
127,0.918367,1.1e-05,0
127,0.938776,1.3e-05,0
127,0.959184,1.7e-05,0
127,0.979592,2.1e-05,0
127,1.0,3.8e-05,0
128,0.102041,0.0004,0
128,0.122449,0.000134,0
128,0.142857,0.00032,0
128,0.163265,0.000458,0
128,0.183673,0.00054,0
128,0.204082,0.000764,0
128,0.22449,0.001271,0
128,0.244898,0.006232,0
128,0.265306,0.00757,0
128,0.285714,0.007343,0
128,0.306122,0.009083,0
128,0.326531,0.011198,0
128,0.346939,0.041236,0
128,0.367347,0.050273,0
128,0.387755,0.046771,0
128,0.408163,0.034003,0
128,0.428571,0.003852,0
128,0.44898,0.01019,0
128,0.469388,0.013085,0
128,0.489796,0.021533,0
128,0.510204,0.011157,0
128,0.530612,0.017922,0
128,0.55102,0.023826,0
128,0.571429,0.060343,0
128,0.591837,0.067493,0
128,0.612245,0.051841,0
128,0.632653,0.055991,0
128,0.653061,0.065077,0
128,0.673469,0.061213,0
128,0.693878,0.073082,0
128,0.714286,0.128381,0
128,0.734694,0.124248,0
128,0.755102,0.137858,0
128,0.77551,0.201959,0
128,0.795918,0.179292,0
128,0.816327,0.156596,0
128,0.836735,0.18758,0
128,0.857143,0.195966,0
128,0.877551,0.223101,0
128,0.897959,0.211883,0
128,0.918367,0.277792,0
128,0.938776,0.345116,0
128,0.959184,0.276006,0
128,0.979592,0.197809,0
128,1.0,0.174242,0
129,0.510204,8e-05,0
129,0.530612,9.6e-05,0
130,0.387755,0.000159,0
130,0.408163,0.000386,0
130,0.428571,0.000116,0
130,0.44898,0.000114,0
130,0.469388,9.3e-05,0
130,0.714286,0.001059,0
130,0.734694,0.000606,0
130,0.755102,0.000722,0
130,0.77551,0.000267,0
130,0.795918,0.000512,0
130,0.877551,0.000485,0
130,0.897959,0.000264,0
130,0.918367,0.000307,0
130,0.938776,0.000331,0
130,0.959184,0.000329,0
130,0.979592,0.000341,0
130,1.0,0.000317,0
131,0.326531,0.004777,0
131,0.346939,0.004817,0
131,0.367347,0.009234,0
131,0.387755,0.012506,0
131,0.408163,0.029371,0
131,0.428571,0.020913,0
131,0.44898,0.025215,0
131,0.469388,0.032997,0
131,0.489796,0.039241,0
131,0.510204,0.095792,0
131,0.530612,0.037908,0
131,0.55102,0.039231,0
131,0.571429,0.056636,0
131,0.591837,0.084591,0
131,0.612245,0.115277,0
131,0.632653,0.130712,0
131,0.653061,0.187466,0
131,0.673469,0.127691,0
131,0.693878,0.180493,0
131,0.714286,0.232743,0
131,0.734694,0.208402,0
131,0.755102,0.207162,0
131,0.77551,0.216007,0
131,0.795918,0.213406,0
131,0.816327,0.201828,0
131,0.836735,0.162651,0
131,0.857143,0.217769,0
131,0.877551,0.213444,0
131,0.897959,0.200638,0
131,0.918367,0.50133,0
131,0.938776,0.310629,0
131,0.959184,0.516153,0
131,0.979592,0.629313,0
131,1.0,0.553616,0
132,0.714286,0.001638,0
132,0.734694,0.00068,0
132,0.755102,0.000361,0
132,0.77551,0.00019,0
132,0.795918,7.1e-05,0
132,0.816327,2e-05,0
132,0.836735,7e-06,0
132,0.857143,1.1e-05,0
132,0.877551,7e-06,0
132,0.897959,1e-06,0
133,0.632653,0.011652,0
133,0.653061,0.027476,0
133,0.673469,0.041057,0
133,0.693878,0.037979,0
133,0.714286,0.015998,0
133,0.734694,0.00866,0
133,0.755102,0.010361,0
133,0.795918,0.08315,0
133,0.816327,0.033244,0
133,0.836735,0.028551,0
133,0.857143,0.025493,0
133,0.877551,0.014677,0
133,0.897959,0.016883,0
133,0.918367,0.021649,0
133,0.938776,0.069064,0
133,0.959184,0.08454,0
133,0.979592,0.064306,0
133,1.0,0.069563,0
134,0.0,0.020432,0
134,0.020408,0.013895,0
134,0.040816,0.011175,0
134,0.061224,0.011332,0
134,0.081633,0.014759,0
134,0.102041,0.020677,0
134,0.122449,0.018954,0
134,0.142857,0.018899,0
134,0.163265,0.024574,0
134,0.183673,0.027868,0
134,0.204082,0.04407,0
